English,Произношение,Слово,Русский
I speak Hebrew,ANI MEDABER IVRIT,אני מדבר עברית,Я говорю на иврите
two years,SHNATAYIM,שנתיים,два года
With whom do you live there?,IM MI AT GARA SHAM,עם מי את גרה שם?,С кем ты живешь там?
With who?,IM MI,עם מי?,С кем?
With,IM BAALI,עם בעלי,С участием
where were you born?,EFO NOLADET,איפה נולדת?,откуда ты родом?
Where did you grow up in Russia?,EFO GADALT BE RUSIYA,איפה גדלת ברוסיה?,Где вы росли в России?
We build sites,ANAKHNU BONIM ATARIM,אנחנו בונים אתרים,Мы строим сайты
Do you like your job?,AT OHEVET ET HA AVODA SHELAKH,את אוהבת את העבודה שלך?,Тебе нравится твоя работа?
what is your occupation?,MA HA MIKTSOA SHELAKH,מה המקצוע שלך?,кем работаете?
I'm a programmer sites,ANI METAKHNETET ATARIM,אני מתכנתת אתרים,Я программист сайтов
How long did you learn that?,KAMA ZMAN LAMADET ET ZE,כמה זמן למדת את זה?,"Как долго вы узнали, что?"
Eight months,SHMONA KHODASHIM,שמונה חודשים,Восемь месяцев
now,AKHSHAV,עכשיו,сейчас
Ask me questions,TSH-ALI OTI SHEELOT,תשאלי אותי שאלות,Спроси меня
Familiarity,HEKERUT,היכרות,фамильярность
Let's get to know,BOI NAKIR,בואי נכיר,Давайте знать
What is your name?,MA SHIMKHA,מה שמך?,Как тебя зовут?
my name is David,SHMI DAVID,שמי דוד,меня зовут Дэвид
How old are you?,BEN KAMA ATA,בן כמה אתה?,Сколько тебе лет?
I'm 28 years old,ANI BEN 28,אני בן 28,Мне 28 лет
How old are you?,BAT KAMA AT,בת כמה את?,Сколько тебе лет?
I am 33 years old,ANI BAT 33,אני בת 33,Мне 33 года
What are you doing in life?,MA ATA OSE BA KHAIM,מה אתה עושה בחיים?,Чем ты занимаешься в жизни?
Working at Ben Gurion Airport,OVED BE NATBAG,"עובד בנתב""ג",Работа в аэропорту Бен-Гурион
Ben Gurion Airport - Ben Gurion Airport,NAMAL TEUFA BEN GURION,"נתב""ג - נמל תעופה בן גוריון",Аэропорт Бен-Гурион - Аэропорт Бен Гурион
Acronyms,RASHEY TEVOT,ראשי תיבות,Сокращения
A bit far,KTSAT RAKHOK,קצת רחוק,Далековато
Now I live a little far from the beach,AKHSHAV ANI GAR KTSAT RAKHOK ME HA YAM,עכשיו אני גר קצת רחוק מהים,Сейчас я живу немного далеко от пляжа
I was 4 years old Ukrainian company,HAYTA LI KHAVERA UKRAINIT 4 SHANIM,הייתה לי חברה אוקראינית 4 שנים,Мне было 4 года украинская компания
economy,KALKALA,כלכלה,#VALUE!
Business Administration,MINHAL ASAKIM,מנהל עסקים,Управление бизнесом
To military,AD HA TSAVA,עד הצבא,до армии
Army,TSAVA,צבא,армия
I was traveling to Russia every year,HAITI NOSEA LE RUSIYA KOL SHANA,הייתי נוסע לרוסיה כל שנה,каждый год я ехал в Россию
Now there so long,AKHSHAV EN KOL KAKH ZMAN,עכשיו אין כל כך זמן,Сейчас там так долго
Leo,MAZAL ARYE,מזל אריה,Лео
The last time you visited Russia?,MATAY BA PAAM HA AKHARONA BIKRATA BE RUSIYA,מתי בפעם האחרונה ביקרת ברוסיה?,"В последний раз, когда вы посетили Россию?"
a year and a half,SHANA VA KHETSI,שנה וחצי,"в год, а полтора"
What cities were in Russia?,BE ELU ARIM HAITA BE RUSIYA,באילו ערים היית ברוסיה?,Какие города были в России?
a tour,TIYUL,טיול,тур
Which countries have you visited?,BE ELU MEDINOT BIKARTA,באילו מדינות ביקרת?,Какие страны ты уже посетил?
France,TSARFAT,צרפת,Франция
Cyprus,KAFRISIN,קפריסין,Кипр
I love Europe,ANI OHEVET ET EROPA,אני אוהבת את אירופה,Я люблю Европу
Spain,SFARAD,ספרד,Испания
Which languages ​​do you speak?,ELU SAFOT ATA MEDABER,אילו שפות אתה מדבר?,Какие языки вы говорите?
Many times,HARBE PEAMIM,הרבה פעמים,Много раз
culture,TARBUT,תרבות,культура
language,SAFA,שפה,язык
nature,TEVA,טבע,природа
Prices,MEKHIRIM,מחירים,Цены
Nice,NEKHMAD,נחמד,Ницца
You could say,EFSHAR LEHAGID,אפשר להגיד,можно сказать
Cool,SABABA,סבבה,прохладно
They say,OMRIM,אומרים,Они говорят
How to say in Hebrew ....,EKH OMRIM BE IVRIT ....,איך אומרים בעברית ....,Как сказать на иврите ....
Boring,MESHAAMEM,משעמם,Бурильные
I forgot,SHAKHATI,שכחתי,Я забыл
I cleaned the apartment,NIKITI ET HA DIRA,ניקיתי את הדירה,Я убирала квартиру
document,MISMAKH,מסמך,документ
Cooked,BISHALTI,בישלתי,вареный
Sea bream,DAG DENIS,דג דניס,Морской лещ
I made,EKHANTI,הכנתי,я сделал
Prepare,LEAKHIN,להכין,Подготовить
surf,LIGLOSH,לגלוש,прибой
Good hobby,TAKHBIV TOV,תחביב טוב,Хорошее хобби
hobby,TAKHBIV,תחביב,хобби
what are your hobbies?,MA HA TAKHBIVIM SHELAKH,מה התחביבים שלך?,какие у тебя хобби?
playing the guitar,MENAGENET BE GITARA,מנגנת בגיטרה,играя на гитаре
piano,PSANTER,פסנתר,пианино
to knit,LISROG,לסרוג,чтобы вязать
initial,ETKHALTI,התחלתי,начальная
March,MERTS,מרץ,марш
Why did you choose to learn to play the piano?,LAMA LILMOD LENAGEN BE PSANTER,למה בחרת ללמוד לנגן בפסנתר?,Почему вы решили научиться играть на пианино?
when I was a girl,KSHE HAITI YALDA,כשהייתי ילדה,когда я была девочкой
I played,NIGANTI,ניגנתי,Я играл
at my friend's,ETSEL KHAVERA SHELI,אצל חברה שלי,у моего друга
And realized that,VE HEVANTI SHE,והבנתי ש,"И понял, что"
And I realized it was not for me,VE HEVANTI SHE ZE LO BISHVILI,והבנתי שזה לא בשבילי,"И я понял, что это не для меня"
I watch videos,ANI TSOFA BE SIRTONIM,אני צופה בסרטונים,Я смотрю видео
concert,KONTSERT,קונצרט,концерт
a band,LEHAKA,להקה,группа
Appearance,HOFAA,הופעה,Внешность
a show of,HOFAA SHEL,הופעה של ,показ
Russian rock,ROK RUSI,רוק רוסי,русский рок
One of them,EKHAD MEHEM,אחד מהם,Один из них
Songs,SHIRIM,שירים,песни
Lightning,BARAK,ברק,молниеносный
Damned old house,BAIT YASHAN VE MEKULAL,בית ישן ומקולל,Проклятый старый дом
Man Forests,ISH YEAROT,איש יערות,Человек Леса
Pop rock,HA KOFETS ME HA SELA,הקופץ מהסלע,Поп рок
After our lesson,AKHAREY HA SHIUR SHELANU,אחרי השיעור שלנו,После нашего урока
I take my guitar,EKAKH ET HA GITARA SHELI,אקח את הגיטרה שלי,Я беру гитару
And will play their songs,VE ANAGEN ET HA SHIRIM SHELAHEM,ואנגן את השירים שלהם,И будет играть свои песни
together,BE YAKHAD,ביחד,все вместе
Let's talk about,BOI NEDABER ALAV,בואי נדבר עליו,Давайте поговорим о
what's his name?,EKH KOR-IM LO,איך קוראים לו?,как его зовут?
he is called...,KOR-IM LO,קוראים לו...,его зовут...
How old is he?,BEN KAMA HU,בן כמה הוא?,Сколько ему лет?
He's ...,HU BEN,הוא בן...,Он ...
Great from the,AT GDOLA MIMENO,את גדולה ממנו,Отлично от
The two years his senior,AT GDOLA MIMENO BE SHNATAIM,את גדולה ממנו בשנתיים,Два года старше его
Is two years younger than me,HU KATAN MIMENI BE SHNATAIM,הוא קטן ממני בשנתיים,Есть два года моложе меня
HOW DID YOU GET TO KNOW EACH OTHER,EKH EKH HEKARTEM,איך הכרתם?,КАК ВЫ ПОЛУЧАЕТЕ узнать друг друга
We met at out of town,HEKARNU BE BAIT MI KHUTS LA IR,הכרנו בבית מחוץ לעיר,Мы встретились на выезде из города
he arrived,HU HEGIA,הוא הגיע,он прибыл
mutual friend,KHAVER MESHUTAF,חבר משותף,общий друг
Name recognition,VE SHAM HEKARTEM,ושם הכרתם,признание Имя
What does he do in life?,MA HU OSE BA KHAIM,מה הוא עושה בחיים?,Что он делает в жизни?
Where does he work?,EFO HU OVED,איפה הוא עובד?,Где он работает?
Which company?,BE EZO KHEVRA,באיזו חברה?,Какая компания?
Two workers,SHNEY OVDIM,שני עובדים,Двое рабочих
where was he born?,EFO HU NOLAD,איפה הוא נולד?,где он родился?
You do not look,AT LO NIR-ET,את לא נראית,Вы не смотрите
What hobbies?,MA HA TAKHBIVIM SHELO,מה התחביבים שלו?,Какие увлечения?
He plays?,HU MENGAEN,הוא מנגן?,Он играет?
Which languages ​​he speaks?,ELU SAFOT HU MEDABER,אילו שפות הוא מדבר?,Какие языки он говорит?
better than me,YOTER TOV MIMENI,יותר טוב ממני,лучше меня
sorry for the question,SLIKHA AL HA SHEELA,סליחה על השאלה,извините за вопрос
Both Jews?,SHNEKHEM YEHUDIM,שניכם יהודים?,И евреи?
According to Jewish religious law is not,LEFI HA HALAKHA HU LO YEHUDI,לפי ההלכה הוא לא יהודי,Согласно еврейскому религиозному закону не является
That is Jewish paternal,KI HU YEHUDI MI TSAD HA ABA,כי הוא יהודי מצד האבא,Это еврейская отцовской
like my,KAMONI,כמוני,как я
in the future,BA ATID,בעתיד,в будущем
Siblings,AKHIM,אחים,Братья и сестры
Nurses,AKHAYOT,אחיות,Медсестры
I have a brother,YESH LI AKH,יש לי אח,у меня есть брат
Half-brother,AKH LE MEKHETSA,אח למחצה,Сводный брат
Traveled to Australia,NASA LE OSTRALIYA,נסע לאוסטרליה,Ездил в Австралии
"Twenty years ago,",LIFNEY ESRIM SHANIM,לפני עשרים שנים,"Двадцать лет назад,"
He left Russia twenty years ago,HU AZAV ET RUSIYA LIFNEY ESRIM SHANIM,הוא עזב את רוסיה לפני עשרים שנים,Он покинул Россию двадцать лет назад
Move to Israel,LAAVOR LAGUR BE ISRAEL,לעבור לגור בישראל,переехать жить в Израиль
possibility,EFSHARUT,אפשרות,возможность
We could not,HAYTA LANU EFSHARUT,הייתה לנו אפשרות,Мы не смогли
Exit Journey Project,LATSET LE PROYEKT MASA,לצאת לפרויקט מסע,Выход Путешествие проекта
to stay,LEHISHAER,להישאר,остаться
Sees Israel,ROE ET ISRAEL,רואה את ישראל,видит Израиль
It's not expensive,ZE LO YAKAR,זה לא יקר,Это не дорого
Hotel,BET MALON,בית מלון,Гостиница
it's not the same,ZE LO OTO DAVAR,זה לא אותו דבר,это не одно и то же
After I learn Hebrew change my mind,AKHAREY SHE ELMAD IVRIT ASHANE ET DAATI,אחרי שאלמד עברית אשנה את דעתי,"После того, как я изучаю иврит передумает"
opinion,DEA,דעה,мнение
Change my mind,LESHANOT ET DAATI,לשנות את דעתי,Передумать
To change,LESHANOT,לשנות,Изменить
A good idea,RAAYON TOV,רעיון טוב,Хорошая идея